Xc,TA,Ypc,IPX,Mk,PI
4025119,31.02,51524.75,119.16,39.22,106.44
2234391,30.63,51806.71,118.26,45.12,106.75
1757112,31.54,51674.96,117.37,40.17,106.59
1388718,30.46,51868.09,117.41,42.88,105.96
3203197,31.36,52213.31,117.69,35.81,105.46
1584007,29.71,52673.43,116.83,45.25,109.94
2073556,29.64,52350.72,117.66,34.84,106.24
2347568,31.29,52511.99,118.37,34.73,104.97
808859,29.80,52506.50,117.90,48.10,105.37
2854925,30.11,52507.91,117.62,44.07,105.09
2985601,30.60,52930.51,117.84,39.93,105.61
2925426,30.30,53050.32,117.67,43.42,106.47
3371089,30.33,53288.87,117.63,37.58,105.85
2692660,29.99,53300.85,116.38,41.88,106.15
2171292,30.11,53610.09,116.19,48.82,105.53
2950609,30.52,53962.87,116.10,45.67,105.58
1709858,30.43,53972.55,115.95,35.59,108.51
2608136,29.51,53642.67,114.89,39.42,106.93
1914755,30.15,53898.04,115.29,35.19,108.42
2438377,29.23,53944.74,116.97,38.81,108.85
3393871,30.41,54456.43,118.11,40.40,109.70
3990784,30.26,54812.34,119.27,37.95,108.84
2919371,30.41,55043.99,118.46,34.25,108.54
1927595,30.28,55438.73,120.46,39.45,111.20
2038401,30.20,55742.53,119.33,39.24,108.31
1810047,30.00,55521.48,118.07,42.49,109.42
1864543,30.06,55851.67,120.61,46.41,109.89
1640124,30.59,55914.89,119.37,50.41,110.30
2209871,29.87,55808.55,118.04,44.73,109.85
4190295,26.27,56071.20,117.98,45.90,110.29
2134883,28.63,56464.21,118.52,35.07,108.53
3059051,26.50,56216.15,118.71,47.75,111.57
1939399,28.53,56762.93,117.89,41.09,111.82
2612578,28.00,56793.90,118.54,46.60,110.64
2644859,27.59,56981.22,117.12,41.75,110.24
3744032,28.00,57060.36,117.40,53.03,111.52
3921681,27.84,57065.03,116.53,47.28,111.84
2585130,27.84,57236.31,115.32,51.03,111.14
1450725,27.96,57211.52,114.35,46.30,113.40
3057303,27.98,56999.83,115.39,43.62,115.27
1689371,27.86,57109.36,116.19,43.19,111.69
2694301,25.69,57150.97,115.85,48.10,112.17
2380946,25.88,57062.82,115.34,36.92,108.17
2014741,27.46,57679.17,115.37,51.19,109.22
1435374,26.20,57776.49,115.40,50.37,113.56
2732284,26.18,57656.42,114.68,48.04,113.12
1843790,26.18,57913.70,115.09,54.78,112.42
1375414,26.37,57825.89,114.48,51.73,111.69
1776777,26.24,58202.62,114.51,47.35,112.61
705657,26.78,58526.98,113.67,40.27,112.40
661221,26.40,58392.72,113.51,38.07,113.84
1658339,26.52,58836.47,113.61,41.81,109.71
2444070,26.04,58971.99,113.94,37.06,114.04
966494,27.36,59055.72,113.58,40.52,112.55
1744884,27.30,59204.50,114.20,41.20,111.99
2025647,27.26,59591.69,114.96,47.19,113.93
1709216,26.73,59262.63,115.03,42.81,111.99
525373,27.35,59685.39,115.39,45.19,112.74
1667584,27.02,59965.47,115.61,45.11,116.45
2478405,27.10,59950.33,115.02,58.32,113.30
1484678,27.05,60210.44,114.55,56.04,113.85
704662,27.00,60657.23,114.40,47.83,115.29
2255015,26.79,60735.54,114.03,53.04,114.86
1069964,26.66,61327.49,113.49,47.44,115.44
869657,26.59,61435.87,112.97,51.34,116.66
